section,quantity,parameter,output,value,unit,tag,note
control,max_abs_diff_npv_musd,,npv_musd,0.0,MUSD,MEASURED,fast value function vs plant_npv over 200 draws
input_band,low,mass_yield_leach,,0.8,native,ASSUMED,triangular scenario band from chain_inputs()
input_band,high,mass_yield_leach,,0.97,native,ASSUMED,triangular scenario band from chain_inputs()
input_band,mode,mass_yield_leach,,0.92,native,ASSUMED,triangular mode from chain_inputs()
input_band,low,mass_yield_flot,,0.7,native,ASSUMED,triangular scenario band from chain_inputs()
input_band,high,mass_yield_flot,,0.93,native,ASSUMED,triangular scenario band from chain_inputs()
input_band,mode,mass_yield_flot,,0.85,native,ASSUMED,triangular mode from chain_inputs()
input_band,low,al_mean_ppm,,8.0,native,ASSUMED,triangular scenario band from chain_inputs()
input_band,high,al_mean_ppm,,26.0,native,ASSUMED,triangular scenario band from chain_inputs()
input_band,mode,al_mean_ppm,,18.0,native,ASSUMED,triangular mode from chain_inputs()
input_band,low,al_sigma_ppm,,1.5,native,ASSUMED,triangular scenario band from chain_inputs()
input_band,high,al_sigma_ppm,,6.0,native,ASSUMED,triangular scenario band from chain_inputs()
input_band,mode,al_sigma_ppm,,3.0,native,ASSUMED,triangular mode from chain_inputs()
input_band,low,price,,2800.0,native,ASSUMED,triangular scenario band from chain_inputs()
input_band,high,price,,5200.0,native,ASSUMED,triangular scenario band from chain_inputs()
input_band,mode,price,,3500.0,native,ASSUMED,triangular mode from chain_inputs()
input_band,low,power_price,,0.045,native,ASSUMED,uniform scenario band from chain_inputs()
input_band,high,power_price,,0.095,native,ASSUMED,uniform scenario band from chain_inputs()
input_band,low,reagent_price,,1.2,native,ASSUMED,triangular scenario band from chain_inputs()
input_band,high,reagent_price,,2.6,native,ASSUMED,triangular scenario band from chain_inputs()
input_band,mode,reagent_price,,1.8,native,ASSUMED,triangular mode from chain_inputs()
input_band,low,capex_musd,,25.0,native,ASSUMED,triangular scenario band from chain_inputs()
input_band,high,capex_musd,,60.0,native,ASSUMED,triangular scenario band from chain_inputs()
input_band,mode,capex_musd,,38.0,native,ASSUMED,triangular mode from chain_inputs()
input_band,low,discount_rate,,0.1,native,ASSUMED,triangular scenario band from chain_inputs()
input_band,high,discount_rate,,0.2,native,ASSUMED,triangular scenario band from chain_inputs()
input_band,mode,discount_rate,,0.14,native,ASSUMED,triangular mode from chain_inputs()
monte_carlo,mean,,npv_musd,19.04539255493984,MUSD,COMPUTED,"20000 draws, seed 42"
monte_carlo,sd,,npv_musd,14.31120002775424,MUSD,COMPUTED,"20000 draws, seed 42"
monte_carlo,min,,npv_musd,-22.818810484783874,MUSD,COMPUTED,"20000 draws, seed 42"
monte_carlo,max,,npv_musd,90.04892417250161,MUSD,COMPUTED,"20000 draws, seed 42"
monte_carlo,P10,,npv_musd,1.3073319832714119,MUSD,COMPUTED,"20000 draws, seed 42"
monte_carlo,P50,,npv_musd,18.105624510272328,MUSD,COMPUTED,"20000 draws, seed 42"
monte_carlo,P90,,npv_musd,38.08422450824005,MUSD,COMPUTED,"20000 draws, seed 42"
monte_carlo,P90_minus_P10,,npv_musd,36.77689252496864,MUSD,COMPUTED,"20000 draws, seed 42"
monte_carlo,mean,,breakeven,2859.5694763332463,USD/t,COMPUTED,"20000 draws, seed 42"
monte_carlo,sd,,breakeven,485.8103540539247,USD/t,COMPUTED,"20000 draws, seed 42"
monte_carlo,min,,breakeven,1695.4844269040436,USD/t,COMPUTED,"20000 draws, seed 42"
monte_carlo,max,,breakeven,5277.170702194722,USD/t,COMPUTED,"20000 draws, seed 42"
monte_carlo,P10,,breakeven,2278.866011251988,USD/t,COMPUTED,"20000 draws, seed 42"
monte_carlo,P50,,breakeven,2807.1373959241105,USD/t,COMPUTED,"20000 draws, seed 42"
monte_carlo,P90,,breakeven,3510.9684018649755,USD/t,COMPUTED,"20000 draws, seed 42"
monte_carlo,P90_minus_P10,,breakeven,1232.1023906129876,USD/t,COMPUTED,"20000 draws, seed 42"
monte_carlo,mean,,overall_yield,0.73288577972173,fraction,COMPUTED,"20000 draws, seed 42"
monte_carlo,sd,,overall_yield,0.05418673722767275,fraction,COMPUTED,"20000 draws, seed 42"
monte_carlo,min,,overall_yield,0.521619713546055,fraction,COMPUTED,"20000 draws, seed 42"
monte_carlo,max,,overall_yield,0.8810949587261866,fraction,COMPUTED,"20000 draws, seed 42"
monte_carlo,P10,,overall_yield,0.6603666991115315,fraction,COMPUTED,"20000 draws, seed 42"
monte_carlo,P50,,overall_yield,0.7346409067007819,fraction,COMPUTED,"20000 draws, seed 42"
monte_carlo,P90,,overall_yield,0.8022318030978987,fraction,COMPUTED,"20000 draws, seed 42"
monte_carlo,P90_minus_P10,,overall_yield,0.1418651039863672,fraction,COMPUTED,"20000 draws, seed 42"
monte_carlo,mean,,cash_cost,234.7014716038445,USD/t,COMPUTED,"20000 draws, seed 42"
monte_carlo,sd,,cash_cost,8.007469806575447,USD/t,COMPUTED,"20000 draws, seed 42"
monte_carlo,min,,cash_cost,212.0403200979907,USD/t,COMPUTED,"20000 draws, seed 42"
monte_carlo,max,,cash_cost,272.5754431325744,USD/t,COMPUTED,"20000 draws, seed 42"
monte_carlo,P10,,cash_cost,224.61374391955076,USD/t,COMPUTED,"20000 draws, seed 42"
monte_carlo,P50,,cash_cost,234.30017295416272,USD/t,COMPUTED,"20000 draws, seed 42"
monte_carlo,P90,,cash_cost,245.25749545860893,USD/t,COMPUTED,"20000 draws, seed 42"
monte_carlo,P90_minus_P10,,cash_cost,20.643751539058172,USD/t,COMPUTED,"20000 draws, seed 42"
monte_carlo,P(NPV<0),,npv_musd,0.081,fraction,COMPUTED,"20000 draws, seed 42"
monte_carlo,bootstrap_se_npv_P10,,npv_musd,0.1312980888763507,MUSD,COMPUTED,400 bootstrap resamples
monte_carlo,bootstrap_se_npv_P50,,npv_musd,0.11691416896001042,MUSD,COMPUTED,400 bootstrap resamples
monte_carlo,bootstrap_se_npv_P90,,npv_musd,0.2086995184828327,MUSD,COMPUTED,400 bootstrap resamples
sobol,total_order_ST,mass_yield_leach,npv_musd,0.03690801635386087,variance share,COMPUTED,"Saltelli N=4096, 45056 evaluations"
sobol,first_order_S1,mass_yield_leach,npv_musd,0.035933194118157784,variance share,COMPUTED,"Saltelli N=4096, 45056 evaluations"
sobol,total_order_conf95,mass_yield_leach,npv_musd,0.00216353046109326,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,mass_yield_flot,npv_musd,0.07732299441311712,variance share,COMPUTED,"Saltelli N=4096, 45056 evaluations"
sobol,first_order_S1,mass_yield_flot,npv_musd,0.07487994828534449,variance share,COMPUTED,"Saltelli N=4096, 45056 evaluations"
sobol,total_order_conf95,mass_yield_flot,npv_musd,0.004180563958974416,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,al_mean_ppm,npv_musd,0.007528770235736898,variance share,COMPUTED,"Saltelli N=4096, 45056 evaluations"
sobol,first_order_S1,al_mean_ppm,npv_musd,0.004120571212181954,variance share,COMPUTED,"Saltelli N=4096, 45056 evaluations"
sobol,total_order_conf95,al_mean_ppm,npv_musd,0.0009011075635384521,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,al_sigma_ppm,npv_musd,0.004915024667741633,variance share,COMPUTED,"Saltelli N=4096, 45056 evaluations"
sobol,first_order_S1,al_sigma_ppm,npv_musd,0.002498213649128595,variance share,COMPUTED,"Saltelli N=4096, 45056 evaluations"
sobol,total_order_conf95,al_sigma_ppm,npv_musd,0.0006114930723913531,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,price,npv_musd,0.4360746863075241,variance share,COMPUTED,"Saltelli N=4096, 45056 evaluations"
sobol,first_order_S1,price,npv_musd,0.42560849797550043,variance share,COMPUTED,"Saltelli N=4096, 45056 evaluations"
sobol,total_order_conf95,price,npv_musd,0.02037871222162597,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,power_price,npv_musd,4.141829934435337e-05,variance share,COMPUTED,"Saltelli N=4096, 45056 evaluations"
sobol,first_order_S1,power_price,npv_musd,5.511888163789361e-05,variance share,COMPUTED,"Saltelli N=4096, 45056 evaluations"
sobol,total_order_conf95,power_price,npv_musd,1.8854659733928684e-06,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,reagent_price,npv_musd,3.7654068175661936e-05,variance share,COMPUTED,"Saltelli N=4096, 45056 evaluations"
sobol,first_order_S1,reagent_price,npv_musd,3.4751103195432044e-05,variance share,COMPUTED,"Saltelli N=4096, 45056 evaluations"
sobol,total_order_conf95,reagent_price,npv_musd,1.9764575445782374e-06,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,capex_musd,npv_musd,0.18973517864226916,variance share,COMPUTED,"Saltelli N=4096, 45056 evaluations"
sobol,first_order_S1,capex_musd,npv_musd,0.18977331967965833,variance share,COMPUTED,"Saltelli N=4096, 45056 evaluations"
sobol,total_order_conf95,capex_musd,npv_musd,0.007773101259999499,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,discount_rate,npv_musd,0.2607420149330144,variance share,COMPUTED,"Saltelli N=4096, 45056 evaluations"
sobol,first_order_S1,discount_rate,npv_musd,0.25075919370455063,variance share,COMPUTED,"Saltelli N=4096, 45056 evaluations"
sobol,total_order_conf95,discount_rate,npv_musd,0.013658622129492455,variance share,COMPUTED,SALib bootstrap CI
sobol,additive_fraction_sum_S1,,npv_musd,0.9836628086093555,variance share,COMPUTED,
sobol,sum_total_order,,npv_musd,1.0133057579207843,variance share,COMPUTED,converged=True
sobol,output_variance,,npv_musd,204.84926830218794,native squared,COMPUTED,
sobol,total_order_ST,mass_yield_leach,breakeven,0.05251780387847734,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,mass_yield_leach,breakeven,0.051145887683678996,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,mass_yield_leach,breakeven,0.004209082632567262,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,mass_yield_flot,breakeven,0.11194786636247296,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,mass_yield_flot,breakeven,0.10755570649724529,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,mass_yield_flot,breakeven,0.008259079518463722,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,al_mean_ppm,breakeven,0.012661528716762769,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,al_mean_ppm,breakeven,0.006071988370576707,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,al_mean_ppm,breakeven,0.002260977268825334,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,al_sigma_ppm,breakeven,0.008155190626097632,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,al_sigma_ppm,breakeven,0.004216601989648773,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,al_sigma_ppm,breakeven,0.00129325474695586,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,price,breakeven,0.0,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,price,breakeven,0.0,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,price,breakeven,0.0,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,power_price,breakeven,0.0001070670663724742,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,power_price,breakeven,8.450495532776833e-05,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,power_price,breakeven,6.259130538764864e-06,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,reagent_price,breakeven,9.753295861576431e-05,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,reagent_price,breakeven,7.424567627572534e-05,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,reagent_price,breakeven,6.5810450291873924e-06,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,capex_musd,breakeven,0.5264170627442384,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,capex_musd,breakeven,0.5118099835981283,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,capex_musd,breakeven,0.032948023906883145,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,discount_rate,breakeven,0.31037320608315055,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,discount_rate,breakeven,0.29908185182640495,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,discount_rate,breakeven,0.02192945723664791,variance share,COMPUTED,SALib bootstrap CI
sobol,additive_fraction_sum_S1,,breakeven,0.9800407705972866,variance share,COMPUTED,
sobol,sum_total_order,,breakeven,1.0222772584361879,variance share,COMPUTED,converged=True
sobol,output_variance,,breakeven,230461.1152925304,native squared,COMPUTED,
sobol,total_order_ST,mass_yield_leach,overall_yield,0.29678772498509154,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,mass_yield_leach,overall_yield,0.29605819254875776,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,mass_yield_leach,overall_yield,0.019522670967524657,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,mass_yield_flot,overall_yield,0.622590908966986,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,mass_yield_flot,overall_yield,0.6218877224633923,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,mass_yield_flot,overall_yield,0.034466319539572514,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,al_mean_ppm,overall_yield,0.05973940139489113,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,al_mean_ppm,overall_yield,0.03773112015420299,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,al_mean_ppm,overall_yield,0.008777847754490656,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,al_sigma_ppm,overall_yield,0.0399555652433894,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,al_sigma_ppm,overall_yield,0.022004470665553694,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,al_sigma_ppm,overall_yield,0.00539043838024465,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,price,overall_yield,0.0,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,price,overall_yield,0.0,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,price,overall_yield,0.0,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,power_price,overall_yield,0.0,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,power_price,overall_yield,0.0,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,power_price,overall_yield,0.0,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,reagent_price,overall_yield,0.0,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,reagent_price,overall_yield,0.0,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,reagent_price,overall_yield,0.0,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,capex_musd,overall_yield,0.0,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,capex_musd,overall_yield,0.0,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,capex_musd,overall_yield,0.0,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,discount_rate,overall_yield,0.0,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,discount_rate,overall_yield,0.0,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,discount_rate,overall_yield,0.0,variance share,COMPUTED,SALib bootstrap CI
sobol,additive_fraction_sum_S1,,overall_yield,0.9776815058319067,variance share,COMPUTED,
sobol,sum_total_order,,overall_yield,1.019073600590358,variance share,COMPUTED,converged=True
sobol,output_variance,,overall_yield,0.0028768196091520093,native squared,COMPUTED,
sobol,total_order_ST,mass_yield_leach,cash_cost,0.07831280316539126,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,mass_yield_leach,cash_cost,0.07715826763432701,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,mass_yield_leach,cash_cost,0.005463175594234315,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,mass_yield_flot,cash_cost,0.16590787466769955,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,mass_yield_flot,cash_cost,0.1639395606049978,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,mass_yield_flot,cash_cost,0.010329804706450053,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,al_mean_ppm,cash_cost,0.01866427147268936,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,al_mean_ppm,cash_cost,0.011599524527296472,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,al_mean_ppm,cash_cost,0.003064292975556178,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,al_sigma_ppm,cash_cost,0.01206671297566304,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,al_sigma_ppm,cash_cost,0.006657548909374756,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,al_sigma_ppm,cash_cost,0.001979377656595938,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,price,cash_cost,0.0,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,price,cash_cost,0.0,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,price,cash_cost,0.0,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,power_price,cash_cost,0.385406173083646,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,power_price,cash_cost,0.3824575110227346,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,power_price,cash_cost,0.023370527415313307,variance share,COMPUTED,SALib bootstrap CI
sobol,total_order_ST,reagent_price,cash_cost,0.3510865255087895,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,first_order_S1,reagent_price,cash_cost,0.3476614454254079,variance share,COMPUTED,"Saltelli N=2048, 22528 evaluations"
sobol,total_order_conf95,reagent_price,cash_cost,0.019050797947157815,variance share,COMPUTED,SALib bootstrap CI
